# farm,Total area (ha),Area in production (ha)
850,4.80,3.00
851,0.70,0.70
852,1.05,1.05
853,1.00,1.00
854,1.35,1.35
855,2.00,2.00
856,5.00,5.00
857,1.05,1.05
858,1.00,1.00
859,12.00,12.00
860,14.00,11.00
861,0.70,0.70
862,4.00,4.00
863,4.00,4.00
864,10.50,10.50
865,6.00,6.00
866,3.00,3.00
867,2.00,2.00
868,1.70,1.70
869,2.00,2.00
870,1.00,1.00
871,1.10,1.10
872,0.20,0.20
873,0.20,0.20
874,3.00,3.00
875,1.00,1.00
876,1.00,1.00
877,3.00,3.00
878,0.48,0.48
879,1.00,1.00
880,0.40,0.40
881,0.35,0.35
882,1.40,1.40
883,1.40,1.40
884,0.60,0.60
885,2.10,2.10
886,154.00,6.00
887,1.00,1.00
888,3.15,3.15
889,4.10,4.05
890,0.53,0.53
891,5.60,5.60
892,1.75,1.75
893,5.00,5.00
894,9.80,9.00
895,5.00,4.90
896,0.70,0.70
897,2.50,2.50
898,3.10,3.10
899,1.00,1.00
900,2.00,2.00
901,1.00,1.00
902,3.00,2.00
903,0.70,0.70
904,3.50,3.00
905,0.30,0.30
906,5.00,5.00
907,8.00,4.00
908,1.40,1.40
909,0.75,0.75
910,1.50,1.50
911,1.00,1.00
912,3.00,3.00
913,5.00,5.00
914,1.40,1.40
915,1.00,1.00
916,3.00,3.00
917,2.00,2.00
918,0.50,0.50
919,2.00,2.00
920,2.00,2.00
921,3.50,3.50
922,5.00,5.00
923,2.80,2.80
924,2.10,2.10
925,2.00,2.00
926,2.00,2.00
927,0.60,0.60
928,2.00,2.00
929,1.00,1.00
930,0.70,0.70
931,1.00,1.00
932,2.00,2.00
933,0.13,0.13
934,2.00,2.00
935,0.70,0.75
936,3.50,3.50
937,4.20,4.20
938,2.80,2.00
939,0.38,0.38
940,4.00,4.00
941,2.10,2.10
942,11.00,8.00
943,0.70,0.70
944,1.00,1.00
945,2.00,2.00
946,28.00,21.00
947,10.50,8.00
948,15.00,15.00
949,1.80,1.80
950,9.00,9.00
951,3.10,2.35
952,2.50,2.50
953,3.80,3.80
954,3.00,3.00
955,2.00,2.00
956,9.10,9.10
957,9.00,9.00
958,4.00,4.00
959,2.00,2.00
960,1.00,0.30
961,3.00,3.00
962,12.00,5.00
963,3.00,2.00
964,5.30,5.30
965,1.40,1.40
966,2.00,2.00
967,0.80,0.80
968,3.50,1.40
969,2.00,2.00
970,1.00,1.00
971,2.10,2.10
972,0.30,0.30
973,3.00,3.00
974,2.50,2.50
975,3.50,2.45
976,10.15,8.75
977,1.30,1.20
978,7.70,7.00
979,0.50,0.50
980,2.00,2.00
981,11.00,10.00
982,2.80,2.80
983,2.80,2.80
984,3.10,2.80
985,1.50,1.00
986,2.00,2.00
987,3.00,3.00
988,3.10,3.00
989,4.00,4.00
990,0.35,0.35
991,3.50,3.50
992,2.10,2.10
993,21.00,20.50
994,8.00,8.00
995,7.00,6.50
996,1.50,1.00
997,3.50,3.50
998,1.00,1.00
999,1.40,1.40
1000,0.50,0.50
1001,0.70,0.70
1002,1.50,1.50
1003,5.00,5.00
1004,3.00,3.00
1005,1.00,1.00
1006,2.00,2.00
1007,1.00,1.00
1008,1.00,1.00
1009,2.90,2.90
1010,6.00,2.50
1011,4.00,4.00
1012,7.00,7.00
1013,2.00,2.00
1014,2.00,2.00
1015,3.00,2.00
1016,1.00,1.00
1017,3.00,3.00
1018,7.00,7.00
1019,0.70,0.70
1020,1.00,1.00
1021,0.70,0.70
1022,6.00,5.00
1023,3.00,3.00
1024,2.00,2.00
1025,5.00,3.00
1026,3.00,3.00
1027,2.00,2.00
1028,2.80,2.80
1029,30.00,10.00
1030,6.00,6.00
1031,1.00,1.00
1032,2.10,2.10
1033,32.00,15.00
1034,24.00,24.00
1035,8.40,8.40
1036,1.40,0.35
1037,2.50,2.50
1038,1.50,1.50
1039,4.90,4.90
1040,1.25,1.00
1041,4.50,2.00
1042,2.00,2.00
1043,1.00,1.00
1044,4.90,4.90
1045,1.50,0.70
1046,2.80,2.80
1047,0.90,0.90
1048,1.00,1.00
1049,1.00,1.00
1050,5.60,5.60
1051,5.05,5.05
1052,1.00,1.00
1053,0.70,0.70
1054,0.35,0.35
1055,0.70,0.70
1056,2.00,2.00
1057,2.80,2.80
1058,2.00,2.00
1059,3.50,3.50
1060,3.90,3.90
1061,0.70,0.70
1062,2.80,2.80
1063,0.50,0.50
1064,4.00,3.00
1065,0.50,0.50
1066,6.30,6.00
1067,0.70,0.70
1068,1.00,1.00
1069,10.00,9.00
1070,2.00,2.00
1071,2.00,2.00
1072,2.00,2.00
1073,1.00,1.00
1074,115.00,100.00
1075,1.30,1.30
1076,5.90,5.90
1077,2.00,1.00
1078,4.00,4.00
1079,3.00,3.00
1080,2.00,2.00
1081,2.50,2.50
1082,1.40,1.40
1083,2.50,2.50
1084,9.80,9.80
1085,2.00,2.00
1086,18.00,4.00
1087,0.70,0.70
1088,2.00,1.50
1089,2.00,2.00
1090,1.00,0.50
1091,2.80,2.80
1092,3.00,3.00
1093,0.50,0.50
1094,0.53,0.53
1095,0.56,0.56
1096,1.00,1.00
1097,2.80,2.80
1098,3.00,1.00
1099,1.40,1.40
1100,3.00,3.00
1101,1.00,1.00
1102,1.00,1.00
1103,3.30,3.30
1104,7.00,3.00
1105,2.00,2.00
1106,3.60,3.00
1107,30.00,12.00
1108,2.00,2.00
1109,1.50,1.50
1110,15.00,15.00
1111,22.00,22.00
1112,4.00,2.00
1113,4.50,4.50
1114,4.50,4.50
1115,0.17,0.17
1116,1.00,1.00
1117,2.00,2.00
1118,4.90,4.90
1119,3.00,2.30
1120,3.00,2.30
1121,1.00,1.00
1122,2.80,2.00
1123,0.35,0.35
1124,0.35,0.35
1125,1.50,1.50
1126,3.00,3.00
1127,2.00,2.00
1128,1.50,1.50
1129,1.50,1.50
1130,3.00,3.00
1131,3.00,2.10
1132,2.00,2.00
1133,1.00,1.00
1134,0.70,0.70
1135,1.00,1.00
1136,3.00,3.00
1137,1.00,1.00
1138,3.00,3.00
1139,4.00,4.00
1140,2.00,2.00
1141,2.00,2.00
1142,2.40,2.40
1143,13.30,7.00
1144,1.80,1.70
1145,0.70,0.70
1146,1.50,1.50
1147,2.00,2.00
1148,5.00,5.00
1149,0.40,0.40
1150,1.00,1.00
1151,2.10,2.10
1152,2.80,2.80
1153,1.00,0.80
1154,4.00,4.00
1155,1.40,1.40
1156,0.88,0.88
1157,1.60,1.60
1158,0.70,0.70
1159,2.00,2.00
1160,1.50,1.50
1161,2.50,2.50
1162,2.80,2.80
1163,4.00,4.00
1164,1.40,1.40
1165,1.00,1.00
1166,0.80,0.70
1167,0.88,0.88
1168,5.00,5.00
1169,2.00,2.00
1170,0.03,0.03
1171,2.50,2.50
1172,4.00,3.00
1173,2.00,2.00
1174,6.30,5.60
1175,1.00,1.00
1176,0.56,0.56
1177,0.70,0.70
1178,4.20,4.20
1179,2.50,2.10
1180,1.05,1.05
1181,0.60,0.60
1182,3.20,3.20
1183,0.70,0.70
1184,0.70,0.70
1185,5.90,4.55
1186,1.40,1.40
1187,1.40,0.70
1188,0.70,0.70
1189,1.00,1.00
1190,3.00,3.00
1191,3.15,3.15
1192,1.00,1.00
1193,3.00,3.00
1194,1.00,1.00
1195,0.86,0.70
1196,2.80,2.80
1197,2.10,1.90
1198,6.30,6.30
1199,2.80,2.80
1200,1.00,1.00
1201,10.50,10.15
1202,8.00,5.00
1203,2.00,2.00
1204,11.00,11.00
1205,15.80,15.80
1206,7.00,7.00
1207,40.00,30.00
1208,5.00,4.00
1209,8.00,7.00
1210,5.00,5.00
1211,3.00,3.00
1212,4.00,4.00
1213,2.50,2.50
1214,3.50,3.50
1215,7.00,7.00
1216,9.80,9.80
1217,1.25,1.25
1218,12.00,11.00
1219,2.00,2.00
1220,7.00,6.00
1221,1.30,1.30
1222,5.00,4.00
1223,0.70,0.70
1224,1.40,1.40
1225,0.35,0.35
1226,4.00,4.00
1227,0.70,0.70
1228,0.50,0.50
1229,5.10,4.10
1230,3.00,3.00
1231,5.20,5.20
1232,2.00,2.00
1233,1.40,0.70
1234,2.70,2.70
1235,0.70,0.70
1236,3.00,3.00
1237,1.40,1.40
1238,2.10,2.10
1239,3.00,3.00
1240,3.00,3.00
1241,0.70,0.70
1242,7.70,7.70
1243,8.50,7.00
1244,3.70,2.80
1245,5.50,5.50
1246,0.35,0.35
1247,4.00,4.00
1248,9.45,7.35
1249,1.80,1.50
1250,2.00,2.00
1251,2.00,0.25
1252,4.00,1.90
1253,0.40,0.40
1254,1.00,0.90
1255,2.50,1.50
1256,4.68,4.58
1257,3.60,3.60
1258,6.30,6.30
1259,2.00,2.00
1260,2.10,2.10
1261,1.00,1.00
1262,1.80,1.80
1263,3.00,2.30
1264,2.00,1.00
1265,1.50,1.50
1266,5.00,4.00
1267,2.80,2.80
1268,2.80,2.80
1269,9.00,4.00
1270,1.00,1.00
1271,1.50,1.50
1272,1.00,1.00
1273,2.10,1.00
1274,1.00,1.00
1275,1.00,1.00
1276,5.10,5.10
1277,3.00,3.00
1278,8.40,3.15
1279,5.60,5.60
1280,1.00,1.00
1281,5.00,5.00
1282,2.00,2.00
1283,14.00,14.00
1284,0.50,0.50
1285,1.00,0.70
1286,2.10,2.10
1287,15.20,14.50
1288,4.50,4.50
1289,4.00,4.00
1290,10.00,10.00
1291,0.25,0.25
1292,2.00,2.00
1293,26.00,20.00
1294,1.40,1.40
1295,5.00,5.00
1296,5.60,5.60
1297,3.00,3.00
1298,4.50,2.50
1299,1.40,1.40
1300,2.00,1.00
1301,1.00,1.00
1302,1.80,1.80
1303,0.70,0.70
1304,2.00,1.00
1305,1.10,0.90
1306,9.80,9.50
1307,2.50,2.50
1308,2.80,2.50
1309,7.00,6.50
1310,1.00,1.00
1311,7.00,5.00
1312,1.00,1.00
1313,12.00,12.00
1314,6.30,4.90
1315,10.00,10.00
1316,2.10,2.10
1317,5.60,5.60
1318,4.00,1.00
1319,2.80,2.80
1320,0.70,0.40
1321,3.00,3.00
1322,0.50,0.50
1323,3.00,1.00
1324,2.75,2.75
1325,1.50,1.50
1326,2.10,2.10
1327,2.00,2.00
1328,1.00,1.00
1329,7.00,2.50
1330,3.50,1.40
1331,1.50,1.50
1332,1.00,1.00
1333,1.60,1.60
1334,6.30,6.00
1335,2.10,2.10
1336,1.50,1.50
1337,0.70,0.70
1338,2.00,2.00
1339,1.70,1.70
1340,1.50,1.50
1341,4.00,2.00
1342,1.00,1.00
1343,0.70,0.70
1344,1.00,1.00
1345,14.00,14.00
1346,40.50,38.00
1347,0.70,0.70
1348,1.00,1.00
1349,0.25,0.25
1350,9.00,9.00
1351,5.00,3.00
1352,1.40,1.40
1353,2.80,2.80
1354,1.00,1.00
1355,1.50,1.50
1356,7.00,7.00
1357,1.80,1.80
1358,8.00,8.00
